processed_text,tokens
battle portfolio recovery foster garbus garbus year regard debt mine continue receive letter foster garbus garbus regard debt although submit document foster garbus garbus prove owe say debt guy go far account frozen last year think issue resolve submit document,"['battle', 'portfolio', 'recovery', 'foster', 'garbus', 'garbus', 'year', 'regard', 'debt', 'mine', 'continue', 'receive', 'letter', 'foster', 'garbus', 'garbus', 'regard', 'debt', 'although', 'submit', 'document', 'foster', 'garbus', 'garbus', 'prove', 'owe', 'say', 'debt', 'guy', 'go', 'far', 'account', 'frozen', 'last', 'year', 'think', 'issue', 'resolve', 'submit', 'document']"
fall apply mortgage modification lay year decide retire year half finally receive sign document pure entire time work soon receive sign document sell mortgage greentree greentree would acknowledge modification finally fall start foreclosure procedure continue pay greentree amount month come modification paper gt would go back verify modification would help long mortgage bunch deceit mortgage company able get away finally get fannie mae involve prove gt lawyer indeed legal modification never late payment time exactly tell pay tell pay gt agree tell truth send letter state want start pay principal balance statement next year gt keep put dollar amount statement heading inquire keep tell lawyer fee fight year finally get fannie mae back involve beginning year gt finally say pay back lawyer fee pay way know ask show money pay send multi page report show transaction point convoluted addition subtraction month dollar amount nothing piti never use word lawyer fee could make head tail take word deceiving company get fannie mae involve early year sudden xxxxxxxxxxxx statement xxxxxxxxxxxx statement principal balance go absolutely notice even notice last summer kind really crazy thing start happen many call letter gt tell mortgage officially complete system year half send letter confirm need start pay accord modification amount say finish owe another payment start call ask go make payment late tell make payment say mistake need make payment say complete whatever need complete owe payment try get explanation stone wall statement principal balance go base statement base pay principal month little principal balance around also recently inquire refinance get away greentree ditech find negative info foreclosure still credit report,"['fall', 'apply', 'mortgage', 'modification', 'lay', 'year', 'decide', 'retire', 'year', 'half', 'finally', 'receive', 'sign', 'document', 'pure', 'entire', 'time', 'work', 'soon', 'receive', 'sign', 'document', 'sell', 'mortgage', 'greentree', 'greentree', 'would', 'acknowledge', 'modification', 'finally', 'fall', 'start', 'foreclosure', 'procedure', 'continue', 'pay', 'greentree', 'amount', 'month', 'come', 'modification', 'paper', 'gt', 'would', 'go', 'back', 'verify', 'modification', 'would', 'help', 'long', 'mortgage', 'bunch', 'deceit', 'mortgage', 'company', 'able', 'get', 'away', 'finally', 'get', 'fannie', 'mae', 'involve', 'prove', 'gt', 'lawyer', 'indeed', 'legal', 'modification', 'never', 'late', 'payment', 'time', 'exactly', 'tell', 'pay', 'tell', 'pay', 'gt', 'agree', 'tell', 'truth', 'send', 'letter', 'state', 'want', 'start', 'pay', 'principal', 'balance', 'statement', 'next', 'year', 'gt', 'keep', 'put', 'dollar', 'amount', 'statement', 'heading', 'inquire', 'keep', 'tell', 'lawyer', 'fee', 'fight', 'year', 'finally', 'get', 'fannie', 'mae', 'back', 'involve', 'beginning', 'year', 'gt', 'finally', 'say', 'pay', 'back', 'lawyer', 'fee', 'pay', 'way', 'know', 'ask', 'show', 'money', 'pay', 'send', 'multi', 'page', 'report', 'show', 'transaction', 'point', 'convoluted', 'addition', 'subtraction', 'month', 'dollar', 'amount', 'nothing', 'piti', 'never', 'use', 'word', 'lawyer', 'fee', 'could', 'make', 'head', 'tail', 'take', 'word', 'deceiving', 'company', 'get', 'fannie', 'mae', 'involve', 'early', 'year', 'sudden', 'xxxxxxxxxxxx', 'statement', 'xxxxxxxxxxxx', 'statement', 'principal', 'balance', 'go', 'absolutely', 'notice', 'even', 'notice', 'last', 'summer', 'kind', 'really', 'crazy', 'thing', 'start', 'happen', 'many', 'call', 'letter', 'gt', 'tell', 'mortgage', 'officially', 'complete', 'system', 'year', 'half', 'send', 'letter', 'confirm', 'need', 'start', 'pay', 'accord', 'modification', 'amount', 'say', 'finish', 'owe', 'another', 'payment', 'start', 'call', 'ask', 'go', 'make', 'payment', 'late', 'tell', 'make', 'payment', 'say', 'mistake', 'need', 'make', 'payment', 'say', 'complete', 'whatever', 'need', 'complete', 'owe', 'payment', 'try', 'get', 'explanation', 'stone', 'wall', 'statement', 'principal', 'balance', 'go', 'base', 'statement', 'base', 'pay', 'principal', 'month', 'little', 'principal', 'balance', 'around', 'also', 'recently', 'inquire', 'refinance', 'get', 'away', 'greentree', 'ditech', 'find', 'negative', 'info', 'foreclosure', 'still', 'credit', 'report']"
try call number call long distance think complaint pretty well describe card capital tell want close account try make last payment refuse take payment call find tell account freeze become account control blocking final payment isillegal learn free legal advice tell handle,"['try', 'call', 'number', 'call', 'long', 'distance', 'think', 'complaint', 'pretty', 'well', 'describe', 'card', 'capital', 'tell', 'want', 'close', 'account', 'try', 'make', 'last', 'payment', 'refuse', 'take', 'payment', 'call', 'find', 'tell', 'account', 'freeze', 'become', 'account', 'control', 'blocking', 'final', 'payment', 'isillegal', 'learn', 'free', 'legal', 'advice', 'tell', 'handle']"
trans union show old debt credit reporting submit dispute collection company suddenlink communication,"['trans', 'union', 'show', 'old', 'debt', 'credit', 'reporting', 'submit', 'dispute', 'collection', 'company', 'suddenlink', 'communication']"
letter mail experian bureaus continuously send scare stall tactic client,"['letter', 'mail', 'experian', 'bureaus', 'continuously', 'send', 'scare', 'stall', 'tactic', 'client']"
customer capital many year mother responsible pay certain bill allow remain financially independent however memory issue late notice capital bill pay timely soon see pay amount due xxxxxxxx review see payment high use card much minimum payment normally due miss payment capital increase interest rate effectively increase minimum payment double minimum payment call capital speak several people tell per term condition unable lower rate card month however impossible pay minimum payment essentially go delinquent due drastic rate increase small issue always pay time fact mother memory contribute make even upsetting explain minimum payment double fix income unable pay drastic increase ask capital put back interest rate couple month ago rate robbery good customer pay full realize miss payment unreasonable capital think customer pay interest rate especially timely along father go hospital thus think bill moment soon make aware pay balance due full promise capital would put account autopay run problem future would lower rate back year however rep continuously tell unable change rate would pay year would review difference make payment year miss payment catch soon make aware tell capital account go delinquent way financially afford pay almost next year help go delinquent ruin credit good answer rate increase punishment late payment character account mishap due parent age mind want embarrass tell reason payment double forget pay bill ask rate put back afford pay minimum payment thank,"['customer', 'capital', 'many', 'year', 'mother', 'responsible', 'pay', 'certain', 'bill', 'allow', 'remain', 'financially', 'independent', 'however', 'memory', 'issue', 'late', 'notice', 'capital', 'bill', 'pay', 'timely', 'soon', 'see', 'pay', 'amount', 'due', 'xxxxxxxx', 'review', 'see', 'payment', 'high', 'use', 'card', 'much', 'minimum', 'payment', 'normally', 'due', 'miss', 'payment', 'capital', 'increase', 'interest', 'rate', 'effectively', 'increase', 'minimum', 'payment', 'double', 'minimum', 'payment', 'call', 'capital', 'speak', 'several', 'people', 'tell', 'per', 'term', 'condition', 'unable', 'lower', 'rate', 'card', 'month', 'however', 'impossible', 'pay', 'minimum', 'payment', 'essentially', 'go', 'delinquent', 'due', 'drastic', 'rate', 'increase', 'small', 'issue', 'always', 'pay', 'time', 'fact', 'mother', 'memory', 'contribute', 'make', 'even', 'upsetting', 'explain', 'minimum', 'payment', 'double', 'fix', 'income', 'unable', 'pay', 'drastic', 'increase', 'ask', 'capital', 'put', 'back', 'interest', 'rate', 'couple', 'month', 'ago', 'rate', 'robbery', 'good', 'customer', 'pay', 'full', 'realize', 'miss', 'payment', 'unreasonable', 'capital', 'think', 'customer', 'pay', 'interest', 'rate', 'especially', 'timely', 'along', 'father', 'go', 'hospital', 'thus', 'think', 'bill', 'moment', 'soon', 'make', 'aware', 'pay', 'balance', 'due', 'full', 'promise', 'capital', 'would', 'put', 'account', 'autopay', 'run', 'problem', 'future', 'would', 'lower', 'rate', 'back', 'year', 'however', 'rep', 'continuously', 'tell', 'unable', 'change', 'rate', 'would', 'pay', 'year', 'would', 'review', 'difference', 'make', 'payment', 'year', 'miss', 'payment', 'catch', 'soon', 'make', 'aware', 'tell', 'capital', 'account', 'go', 'delinquent', 'way', 'financially', 'afford', 'pay', 'almost', 'next', 'year', 'help', 'go', 'delinquent', 'ruin', 'credit', 'good', 'answer', 'rate', 'increase', 'punishment', 'late', 'payment', 'character', 'account', 'mishap', 'due', 'parent', 'age', 'mind', 'want', 'embarrass', 'tell', 'reason', 'payment', 'double', 'forget', 'pay', 'bill', 'ask', 'rate', 'put', 'back', 'afford', 'pay', 'minimum', 'payment', 'thank']"
try correct error transunion online dispute site site function properly get nowhere appear way contact include exhusband information mine,"['try', 'correct', 'error', 'transunion', 'online', 'dispute', 'site', 'site', 'function', 'properly', 'get', 'nowhere', 'appear', 'way', 'contact', 'include', 'exhusband', 'information', 'mine']"
contact enhanced recover flxxxx mail letter numerous phone call ask information debt show credit report even dispute credit bureaus receive satisfactory answer never anything ask sign contract show signature date service time etc nothing want remove credit bureaus nothing happen collection agency,"['contact', 'enhanced', 'recover', 'flxxxx', 'mail', 'letter', 'numerous', 'phone', 'call', 'ask', 'information', 'debt', 'show', 'credit', 'report', 'even', 'dispute', 'credit', 'bureaus', 'receive', 'satisfactory', 'answer', 'never', 'anything', 'ask', 'sign', 'contract', 'show', 'signature', 'date', 'service', 'time', 'etc', 'nothing', 'want', 'remove', 'credit', 'bureaus', 'nothing', 'happen', 'collection', 'agency']"
representative citigroup inc advise would receive certain card benefit part sign new citi rely upon statement make record line sign new credit card pay fee require later inform benefit would provide matter escalate multiple group citi without resolution escalation path clearly design fatigue customer hope give pursuit right clear citi representative engage pattern practice deceptive behavior process,"['representative', 'citigroup', 'inc', 'advise', 'would', 'receive', 'certain', 'card', 'benefit', 'part', 'sign', 'new', 'citi', 'rely', 'upon', 'statement', 'make', 'record', 'line', 'sign', 'new', 'credit', 'card', 'pay', 'fee', 'require', 'later', 'inform', 'benefit', 'would', 'provide', 'matter', 'escalate', 'multiple', 'group', 'citi', 'without', 'resolution', 'escalation', 'path', 'clearly', 'design', 'fatigue', 'customer', 'hope', 'give', 'pursuit', 'right', 'clear', 'citi', 'representative', 'engage', 'pattern', 'practice', 'deceptive', 'behavior', 'process']"
completely pay charge show negative item credit report bill pay full switch competitor,"['completely', 'pay', 'charge', 'show', 'negative', 'item', 'credit', 'report', 'bill', 'pay', 'full', 'switch', 'competitor']"
